TSNE_1,TSNE_2,Target_Index,Target_Character
-18.44623,-6.822047,1,' '
-37.752586,-11.615099,1,' '
58.284466,4.3721905,46,'h'
-50.636414,-33.469296,0,'\n'
42.157703,11.838292,43,'e'
27.320597,-15.044346,59,'u'
47.252636,6.099913,39,'a'
14.098492,13.96392,40,'b'
-0.8960114,-15.125586,39,'a'
24.620407,19.133993,43,'e'
-7.395809,-31.91596,0,'\n'
-8.422147,-15.22328,45,'g'
-3.5540137,-6.277229,54,'p'
-30.512753,-4.8930354,1,' '
-20.298134,-1.5148183,1,' '
-15.883191,13.736528,52,'n'
12.026942,-27.957685,33,'U'
-44.71457,-14.325085,8,'.'
-38.383865,-25.067236,1,' '
-42.450317,-3.0786357,1,' '
-25.668068,0.6013148,1,' '
7.7374716,0.8097685,53,'o'
-38.939247,-17.979322,1,' '
5.3474393,-0.7597196,58,'t'
-8.710034,-22.678078,26,'N'
18.250263,-16.108671,58,'t'
37.269318,6.1803317,39,'a'
-42.460613,2.0920033,1,' '
0.34644455,-10.916582,31,'S'
42.534744,18.692593,43,'e'
-27.569487,-4.8965173,57,'s'
41.729828,14.732971,43,'e'
-6.7778006,-26.976124,30,'R'
20.923624,22.810589,43,'e'
10.069761,12.643577,50,'l'
5.384418,-31.55718,14,'B'
-3.1824148,-34.870956,17,'E'
-21.937342,-1.8640447,0,'\n'
39.955807,13.938981,43,'e'
12.398776,15.500909,53,'o'
-20.307693,1.6186278,53,'o'
-13.711504,-23.74523,10,':'
40.709145,0.42219275,39,'a'
3.012311,-8.243232,46,'h'
-5.854059,19.956312,52,'n'
12.253463,-28.930092,21,'I'
5.0101056,-6.805158,58,'t'
1.977064,-16.02941,61,'w'
56.099796,8.5688,47,'i'
4.5225286,-32.380177,19,'G'
5.539822,3.966513,51,'m'
43.030567,14.188885,43,'e'
49.199326,10.756326,59,'u'
-0.061988253,22.932293,39,'a'
-40.44408,3.1053972,43,'e'
57.54876,6.7995086,46,'h'
50.096546,15.590535,43,'e'
-39.319675,-5.6229463,1,' '
16.075357,-16.982176,58,'t'
-14.245269,-0.70566374,51,'m'
-0.1520034,-9.008228,46,'h'
-28.422398,-8.59335,1,' '
6.2995553,-4.745845,53,'o'
39.57638,20.632088,47,'i'
52.015556,-2.4384303,46,'h'
-49.576107,-21.345427,1,' '
-8.893707,-5.2349033,42,'d'
12.254225,3.1825476,58,'t'
42.26522,8.622452,43,'e'
6.1039467,-2.6811519,61,'w'
-16.96995,16.035397,52,'n'
19.465084,2.6927242,42,'d'
4.031054,-5.117428,51,'m'
-29.057468,12.121257,56,'r'
-4.0304303,13.87397,56,'r'
45.85987,11.201785,43,'e'
7.9608912,17.381392,50,'l'
5.825879,2.2848024,57,'s'
24.106514,19.008825,43,'e'
13.7001295,0.4182785,50,'l'
14.351414,-3.2182534,58,'t'
-0.2782718,13.5830965,60,'v'
18.296438,-15.085159,58,'t'
42.09519,11.712547,53,'o'
-53.56412,-22.957092,0,'\n'
-17.357746,26.933832,52,'n'
11.277558,-8.766974,58,'t'
-23.472288,-14.792093,8,'.'
11.896772,-0.4340059,51,'m'
4.0537896,-4.936807,21,'I'
32.518135,21.46422,43,'e'
-4.615229,1.2952143,46,'h'
-5.051701,8.341862,57,'s'
1.0639634,-9.056246,53,'o'
-49.137913,-35.36162,0,'\n'
-13.179962,-3.9924438,56,'r'
1.9240311,18.809044,56,'r'
46.809357,2.2350864,56,'r'
-49.314068,-19.402613,1,' '
9.783782,-35.081024,33,'U'
-53.32027,-22.30242,0,'\n'
-29.46103,-6.285335,53,'o'
-38.041267,-24.794464,6,"','"
-7.8726196,-1.5076526,1,' '
18.596025,9.154628,43,'e'
4.1933603,33.278038,51,'m'
7.3293715,21.13173,57,'s'
-37.96702,-1.0302922,1,' '
-2.4733653,3.2338476,47,'i'
-51.836876,-27.13787,0,'\n'
23.056362,-16.239595,59,'u'
-15.562105,-12.763778,42,'d'
-27.128529,0.46767277,42,'d'
-12.484039,29.791964,56,'r'
-20.28091,-0.6811159,57,'s'
3.314708,12.950838,42,'d'
0.69073236,4.0983915,53,'o'
4.7139688,7.95246,45,'g'
-6.7780933,35.0605,56,'r'
-37.072456,-13.558641,1,' '
-2.5641854,-2.6286905,47,'i'
-10.142542,-12.946058,45,'g'
-2.830269,20.53969,52,'n'
0.91097087,-0.5600248,45,'g'
52.240597,0.808958,39,'a'
47.30556,5.1625032,43,'e'
6.1401043,-26.447739,26,'N'
1.0814402,27.570753,51,'m'
-8.70981,-22.67836,26,'N'
45.840714,11.367799,59,'u'
-35.09091,13.021084,1,' '
26.306868,5.3908916,63,'y'
18.190794,-12.256989,58,'t'
-40.319637,-7.4194345,1,' '
-16.829374,16.533134,57,'s'
57.1766,-3.3013546,53,'o'
0.03657618,2.4406917,52,'n'
19.87398,-6.074495,39,'a'
1.7919604,-3.4777644,40,'b'
-2.0002239,15.4217415,58,'t'
-18.26201,16.325706,1,' '
54.883877,-2.315084,61,'w'
59.321514,14.122252,53,'o'
12.540255,10.487572,58,'t'
-26.351791,-7.254287,1,' '
26.090565,-14.257031,43,'e'
18.370014,-16.259256,58,'t'
9.800691,-3.0107467,58,'t'
-49.78271,-21.646744,1,' '
-33.239227,14.562361,1,' '
16.540096,18.660185,52,'n'
-15.287585,23.743258,56,'r'
15.756111,0.07368627,53,'o'
-38.09102,1.1336634,57,'s'
-48.81971,2.4801779,1,' '
-42.712154,2.4564188,1,' '
19.477081,-5.6493225,61,'w'
-2.9802332,-30.700998,17,'E'
54.072807,-2.526953,56,'r'
-8.3148575,-3.4138794,42,'d'
-26.867586,-1.2793303,8,'.'
4.7406783,10.115709,41,'c'
13.117426,2.1963563,57,'s'
42.708286,23.052284,43,'e'
-39.24613,-23.67097,1,' '
-35.325203,-4.3468666,1,' '
11.37584,14.101013,40,'b'
13.736501,12.200146,51,'m'
-26.033907,0.5196012,1,' '
-33.83645,6.060724,57,'s'
-10.544942,-16.851824,43,'e'
-9.614117,26.391071,56,'r'
19.459093,2.6953368,42,'d'
15.460804,-7.517264,52,'n'
-28.95261,-1.9059651,56,'r'
41.672688,14.253877,53,'o'
2.1281872,9.11428,55,'q'
46.3691,22.025108,43,'e'
-42.38219,-2.5249636,5,"""'"""
-31.576746,-6.4189644,52,'n'
47.60848,21.375132,43,'e'
49.047153,-1.3637959,39,'a'
-2.6035235,21.209866,52,'n'
25.53482,6.911154,50,'l'
48.27935,22.465893,43,'e'
-7.6105986,-15.404206,49,'k'
-21.891193,22.45136,58,'t'
23.656965,16.709564,43,'e'
2.647122,10.575153,60,'v'
-24.898945,-10.23816,58,'t'
45.361553,9.068171,39,'a'
-0.5481576,3.4331279,58,'t'
-15.545054,24.314644,56,'r'
5.04476,-32.060688,25,'M'
7.044532,8.489353,56,'r'
5.2193294,11.1533785,41,'c'
-41.19081,-12.363921,1,' '
-16.976162,17.633038,1,' '
10.3199835,10.24286,43,'e'
-50.303707,-21.012032,1,' '
8.606639,5.2914147,40,'b'
45.14593,4.3936934,50,'l'
-9.36807,-12.925702,45,'g'
-6.776711,-15.65856,42,'d'
-19.31708,-7.530674,1,' '
37.3275,6.131868,53,'o'
24.84759,10.947072,43,'e'
41.326706,7.2392125,59,'u'
-29.744337,12.07248,1,' '
-6.612032,-15.229648,45,'g'
-24.01609,23.800646,58,'t'
58.07032,4.908564,46,'h'
43.96194,16.747652,63,'y'
4.4798594,-26.649958,32,'T'
-18.436583,16.149126,50,'l'
0.8106437,5.3804936,51,'m'
39.78346,25.453896,43,'e'
-22.878874,22.385458,58,'t'
-33.16952,14.57615,39,'a'
-30.137453,-1.6513855,50,'l'
-46.44431,-10.526175,57,'s'
23.69021,-15.410193,58,'t'
-7.897164,4.2171483,58,'t'
-33.3073,16.92303,56,'r'
-36.586555,-9.650139,1,' '
-52.612514,-27.380474,0,'\n'
51.968445,16.7025,43,'e'
-50.823345,-22.842472,1,' '
36.127937,-3.9001389,53,'o'
-5.2131715,-14.508678,45,'g'
28.845592,-0.14827937,46,'h'
8.144154,-6.9323654,61,'w'
-6.2396107,-31.694792,0,'\n'
55.327744,-2.647999,53,'o'
29.750786,15.059229,40,'b'
29.81359,-1.3254955,46,'h'
-39.72605,-4.0936766,1,' '
6.3773537,-15.171175,43,'e'
11.335513,-17.088852,61,'w'
-36.900043,-1.1326237,57,'s'
-16.784296,24.337034,52,'n'
-35.564198,-11.381266,1,' '
4.4168983,-31.505388,31,'S'
19.46512,-3.9411945,42,'d'
-41.452557,-8.547619,1,' '
40.011013,6.5103145,39,'a'
-33.14547,17.078293,50,'l'
8.501294,-8.37862,63,'y'
40.784863,13.888368,59,'u'
-32.206356,-11.222727,0,'\n'
2.610201,2.2522156,58,'t'
-34.38417,0.55932343,11,';'
8.3144655,12.759831,54,'p'
1.8572538,-2.779361,40,'b'
-17.205423,24.712961,56,'r'
-23.651802,24.070946,58,'t'
-16.561874,-26.626637,10,':'
-37.85894,-4.4788313,47,'i'
-27.412254,-2.0445497,6,"','"
-0.6120944,1.9315522,50,'l'
51.406105,14.140067,47,'i'
12.126658,1.7118636,58,'t'
8.608625,-2.1592498,57,'s'
6.350411,-20.859564,21,'I'
8.279885,3.4820714,46,'h'
-2.7096438,26.244263,56,'r'
11.841018,-5.170278,41,'c'
-47.975697,-21.840855,0,'\n'
-20.202265,11.562812,58,'t'
-52.578053,-26.635935,0,'\n'
6.4512873,34.775307,59,'u'
3.6648502,4.704576,57,'s'
-3.5063114,17.955095,57,'s'
-46.810966,-5.8745675,1,' '
-34.3959,-10.1542845,1,' '
50.594,16.389217,39,'a'
-6.550539,23.798668,47,'i'
-32.77166,0.48624274,10,':'
-50.284794,-26.246086,5,"""'"""
-31.807766,-12.399869,1,' '
-49.878574,-33.473618,0,'\n'
-48.29759,-21.294434,1,' '
-8.870461,-13.421963,45,'g'
9.001164,10.212956,43,'e'
-51.181393,-28.7487,1,' '
-8.462895,3.900524,58,'t'
1.4582574,-2.8035479,46,'h'
21.556786,7.4476714,59,'u'
-11.915448,-29.346134,30,'R'
-0.16044445,3.098341,39,'a'
32.019604,10.855143,43,'e'
-13.181805,7.9174824,52,'n'
-1.7579087,-6.758373,39,'a'
52.29482,-2.1522467,53,'o'
10.818505,2.5203767,61,'w'
4.747421,-30.891947,19,'G'
13.2834635,5.8927364,40,'b'
-33.748814,-4.641329,1,' '
-2.4720552,-13.043288,52,'n'
-2.4727476,-8.191357,47,'i'
-28.873512,2.0827045,1,' '
-2.976851,14.528861,57,'s'
44.577858,17.014755,47,'i'
-17.418327,14.96761,52,'n'
10.951398,-26.87572,21,'I'
-13.988813,-5.199112,43,'e'
-8.254919,11.625419,56,'r'
18.049221,3.6946619,42,'d'
-34.850967,-6.9633045,1,' '
14.198493,-12.158582,57,'s'
-6.1793356,24.612047,47,'i'
1.6081095,-2.1037228,46,'h'
10.509233,0.5939757,52,'n'
-8.40256,5.4200444,64,'z'
-27.020973,17.46103,52,'n'
-16.401608,29.808386,56,'r'
15.462943,-7.5132575,58,'t'
-0.8302548,-27.75794,44,'f'
-25.443592,2.9006338,52,'n'
14.9594345,-4.4154844,58,'t'
4.491586,-8.385808,52,'n'
4.4452896,2.0245168,39,'a'
-38.068027,1.158116,63,'y'
-30.499388,4.9823174,51,'m'
56.101707,15.945824,53,'o'
11.269053,3.5851681,57,'s'
11.328132,-17.082312,61,'w'
-46.77065,-5.845208,1,' '
-0.4854122,-2.483616,19,'G'
-4.534225,-21.949867,47,'i'
14.024672,-13.194985,1,' '
3.9519448,2.2667446,61,'w'
-18.466568,9.094804,52,'n'
57.965374,-0.6378543,46,'h'
6.350977,-20.860518,21,'I'
-32.480743,-6.2145276,2,'!'
39.595455,2.2651443,39,'a'
4.4949274,-26.660372,32,'T'
-2.1337974,-29.292522,32,'T'
46.69091,-3.7276292,43,'e'
-38.383286,-24.112894,1,' '
-4.4960747,-28.25299,24,'L'
11.76322,-26.364765,17,'E'
-46.053173,-10.454143,1,' '
0.87725884,-23.640398,32,'T'
-0.9346911,-32.3313,21,'I'
7.975853,11.398876,54,'p'
56.089397,8.596824,43,'e'
8.020612,-3.2015193,47,'i'
-8.886792,-3.8598104,42,'d'
-42.511578,-4.1301823,1,' '
-38.601265,-9.306792,10,':'
7.3364143,16.966118,44,'f'
48.438053,21.513027,43,'e'
-7.7523966,-26.277935,13,'A'
9.536949,2.8172374,52,'n'
-27.036379,17.496475,56,'r'
-2.3766441,1.6994838,47,'i'
21.358799,-5.5805125,46,'h'
-15.821191,-13.916431,57,'s'
-40.90247,-16.377449,1,' '
5.9355974,-13.835519,43,'e'
-27.213541,17.744951,52,'n'
-13.769126,7.7358837,52,'n'
-39.181732,-24.867107,1,' '
-1.8602384,-10.176629,51,'m'
1.1081746,-5.2722282,24,'L'
13.538237,3.4149966,52,'n'
-14.21919,9.519645,54,'p'
-49.207687,-20.378355,1,' '
57.84938,4.3316174,46,'h'
17.997711,14.493507,50,'l'
10.37222,-11.473723,40,'b'
0.8380233,-23.709469,32,'T'
58.253674,6.2718744,46,'h'
-49.018036,-7.5420384,1,' '
12.347396,3.5152009,59,'u'
46.112442,15.171582,59,'u'
5.186665,-24.052803,32,'T'
-8.999506,-3.7453911,42,'d'
6.6806827,16.17492,52,'n'
-23.107914,6.489789,52,'n'
3.5196052,-27.47313,31,'S'
9.978256,1.5096253,56,'r'
56.18029,-0.36695388,46,'h'
16.936888,18.881239,46,'h'
-1.4538999,0.4597913,54,'p'
-6.168257,-32.708035,14,'B'
0.975712,-0.8643891,57,'s'
10.766139,26.458164,50,'l'
3.2993646,12.936459,42,'d'
1.5416905,27.567303,56,'r'
-13.407826,-32.224434,27,'O'
56.373543,-0.019058498,46,'h'
39.67354,25.625498,43,'e'
-0.3873694,-19.791412,32,'T'
-33.446583,3.6068223,6,"','"
3.6768389,-2.5691056,21,'I'
45.809994,16.39239,39,'a'
13.516526,2.5962932,53,'o'
-3.830148,-29.44878,35,'W'
-15.824301,28.045769,56,'r'
-36.71981,-19.805054,1,' '
29.149622,-0.92940694,46,'h'
-1.1547745,16.664179,52,'n'
-9.702969,20.372435,52,'n'
9.682939,-1.3085632,58,'t'
-35.17263,-1.5458689,0,'\n'
-8.104548,10.528792,63,'y'
6.515802,15.024839,50,'l'
9.165387,4.571227,57,'s'
11.843653,-5.165129,61,'w'
11.488301,-33.283978,30,'R'
-21.2922,-8.530341,1,' '
-27.882858,-17.060106,6,"','"
-3.2190511,-4.4213557,54,'p'
4.925419,26.505442,59,'u'
-31.714855,1.7665964,12,'?'
48.656414,5.46082,39,'a'
-30.731907,0.3376,43,'e'
-50.897633,-27.475412,0,'\n'
49.506798,20.044123,47,'i'
10.17645,-0.4007313,58,'t'
1.1683742,1.2292695,58,'t'
28.42732,-13.589008,47,'i'
-8.183747,-34.01295,0,'\n'
2.0208097,-10.853435,39,'a'
31.761763,15.048545,39,'a'
8.9859915,35.27445,59,'u'
39.79956,5.6763415,43,'e'
11.350047,5.178741,40,'b'
57.997677,-2.8396497,46,'h'
-30.747238,-7.912799,6,"','"
0.8870531,-29.701889,10,':'
48.491985,-1.6551841,53,'o'
-11.370107,16.724747,52,'n'
51.53961,-3.4009383,43,'e'
-2.764244,-24.786263,13,'A'
-48.988792,-7.50655,1,' '
-50.597248,-26.636183,1,' '
16.362793,8.543161,56,'r'
-0.42926425,22.675838,56,'r'
-25.096308,-5.0793276,6,"','"
13.477219,17.073408,57,'s'
-11.820425,7.2855062,58,'t'
-40.194717,-17.445269,5,"""'"""
-0.2090041,6.044704,51,'m'
9.371224,1.8406018,57,'s'
43.8155,4.447038,53,'o'
-26.938559,20.0249,52,'n'
7.436184,-9.590337,46,'h'
-19.294994,6.1043086,1,' '
10.365217,-32.646885,28,'P'
-6.425373,24.043026,50,'l'
-31.95218,-0.29684806,11,';'
-16.571604,-26.628302,10,':'
20.49405,-4.760842,39,'a'
-34.7756,-7.148088,1,' '
-52.741394,-23.622267,0,'\n'
57.81631,-4.5550957,46,'h'
58.27,14.485171,53,'o'
18.020332,-6.198413,40,'b'
51.203316,16.637888,39,'a'
34.674706,21.347265,43,'e'
1.0734823,28.160856,51,'m'
-1.0102377,28.200447,56,'r'
-22.66058,-2.2080517,6,"','"
-34.610874,-15.6966505,46,'h'
-50.89012,-34.183395,0,'\n'
-49.926952,-27.529444,0,'\n'
-9.849977,13.203245,58,'t'
-14.069858,5.11366,44,'f'
-6.498587,-31.109219,0,'\n'
-13.714409,-23.73792,10,':'
-15.878751,16.22626,52,'n'
-12.164389,7.190725,52,'n'
-3.3457658,-9.685297,46,'h'
25.887238,6.3404903,47,'i'
-34.40636,-16.375397,1,' '
21.503988,-5.8376975,52,'n'
52.97649,-0.17850775,53,'o'
0.16419922,5.889544,54,'p'
13.548362,-31.156698,21,'I'
-39.576927,-23.666525,1,' '
54.838177,4.5658927,43,'e'
-0.58193314,-28.368359,14,'B'
-36.732933,-15.206955,1,' '
-2.1115658,2.3002253,58,'t'
9.17005,-7.443552,63,'y'
-1.0322835,-28.68137,14,'B'
-9.504011,-10.944433,45,'g'
5.899178,12.843019,57,'s'
-35.51419,-2.515552,11,';'
-16.21009,17.757076,54,'p'
-6.464237,-8.620482,6,"','"
0.7568509,-6.4440885,44,'f'
-33.972107,-17.32739,1,' '
-4.3640246,27.511211,42,'d'
17.654282,4.1893516,49,'k'
-2.3503447,12.951213,57,'s'
-3.804707,8.003355,57,'s'
55.910877,0.84380573,56,'r'
12.757263,23.16696,57,'s'
10.311618,11.430879,54,'p'
-24.952572,8.895949,6,"','"
-5.000912,-25.903646,26,'N'
4.252181,16.133474,58,'t'
56.74245,4.7048974,46,'h'
-15.967713,21.883026,52,'n'
-13.85471,-4.873372,43,'e'
-49.020267,-18.683434,1,' '
-10.906661,16.188377,40,'b'
16.214935,-24.194717,13,'A'
-0.1213427,5.3631096,49,'k'
-29.147846,-0.9717436,11,';'
-25.47496,-10.3698225,58,'t'
-5.524471,-31.919773,0,'\n'
4.3816853,33.42068,43,'e'
52.536938,2.7019522,39,'a'
-29.57803,12.748085,56,'r'
46.77757,22.427149,39,'a'
7.6506104,34.866222,59,'u'
-12.050025,-26.31852,10,':'
21.349215,11.326117,43,'e'
-40.714745,-16.931837,1,' '
2.5208185,-7.1111283,63,'y'
50.484047,11.136828,39,'a'
-17.451887,14.721566,52,'n'
13.837334,12.158392,61,'w'
-38.856167,-24.755327,1,' '
45.349106,19.899956,47,'i'
5.9727097,-8.260082,46,'h'
-5.8582077,-8.878811,45,'g'
-0.2883586,6.4835343,41,'c'
-11.103168,0.8030115,58,'t'
53.671043,1.0623695,43,'e'
-45.320637,-9.987888,1,' '
12.774183,-32.206432,21,'I'
50.828915,0.4549826,46,'h'
5.8642764,-14.658417,57,'s'
-27.884281,-17.060856,6,"','"
10.277153,14.704528,42,'d'
-37.048084,-14.222879,1,' '
1.1726424,25.646296,52,'n'
53.70374,-1.3248764,46,'h'
59.37978,14.188633,53,'o'
-33.6817,16.72891,50,'l'
-16.35892,27.719435,56,'r'
-48.860374,-23.214972,1,' '
12.051072,15.467743,51,'m'
43.330395,13.252485,59,'u'
-4.186393,25.484911,58,'t'
-23.531605,5.517795,57,'s'
-0.028988564,-7.758952,39,'a'
24.555695,12.24413,43,'e'
58.612656,4.7626987,46,'h'
-49.827557,-28.283922,0,'\n'
19.35716,-3.0888,42,'d'
-48.683548,-4.9978614,1,' '
8.594813,-4.1022773,47,'i'
11.608374,8.492696,60,'v'
-8.797592,-31.207178,0,'\n'
-41.21705,-5.995314,1,' '
2.0842206,-10.224407,46,'h'
-0.9066478,-27.715168,21,'I'
-0.029198855,-12.963065,44,'f'
-22.77079,8.823953,52,'n'
7.3276997,7.387061,52,'n'
39.431965,1.5758431,43,'e'
8.287788,35.39055,59,'u'
-7.3770895,-0.8482826,58,'t'
-15.570565,26.827019,56,'r'
-16.182734,-12.378568,57,'s'
-6.074891,-30.834896,21,'I'
55.672733,3.9953423,39,'a'
4.0423822,15.9755335,58,'t'
-33.74421,-13.518269,1,' '
-28.70972,-4.2429237,11,';'
0.98086,-5.358555,53,'o'
43.2489,13.30162,43,'e'
-10.413293,13.370522,56,'r'
24.75623,19.197594,43,'e'
36.11783,-3.911926,47,'i'
2.7249799,-37.640263,21,'I'
46.614967,16.568523,63,'y'
-33.321426,-3.3474894,1,' '
13.012436,0.34110445,58,'t'
58.593815,14.786853,53,'o'
-35.039642,0.8254262,43,'e'
55.158653,-1.4114304,61,'w'
49.59881,14.561542,53,'o'
-36.016094,-3.5747728,1,' '
-34.00943,-10.680623,1,' '
-6.8916287,17.12178,39,'a'
20.880697,22.833862,58,'t'
-33.57244,-0.15196924,1,' '
-10.202718,-15.890493,45,'g'
-44.63383,0.4108785,1,' '
8.259869,12.799464,51,'m'
10.503785,-24.747467,13,'A'
-20.09176,-8.173387,1,' '
-1.3511635,3.442677,58,'t'
23.602646,-0.21024752,43,'e'
-38.869915,-7.97184,1,' '
20.550978,-4.6411977,41,'c'
-3.0645216,14.967547,39,'a'
-32.624958,-11.462483,1,' '
53.015656,10.859573,39,'a'
-13.407652,-32.219738,27,'O'
-41.827686,-1.8603657,43,'e'
50.94233,22.806879,63,'y'
-6.7852244,34.824284,56,'r'
-49.55039,-23.40362,1,' '
12.220964,-0.7733927,39,'a'
32.699608,10.34104,63,'y'
10.886664,13.863023,51,'m'
53.593433,17.205221,47,'i'
5.3418236,-30.652376,20,'H'
2.597858,15.720001,58,'t'
56.724483,-1.3384124,46,'h'
55.78329,-1.9163716,61,'w'
-1.1461786,-7.7086134,47,'i'
-20.664291,-8.992976,1,' '
8.684515,-12.16857,41,'c'
-39.226192,-2.1725132,1,' '
46.965473,9.18929,43,'e'
-9.715001,20.35798,57,'s'
-12.752135,-26.481693,10,':'
-34.07084,-21.473804,1,' '
31.64432,21.27647,43,'e'
21.897568,7.970354,43,'e'
-6.5183544,27.60043,58,'t'
0.018082658,16.818087,39,'a'
-0.21558747,22.744335,56,'r'
-0.65658426,-9.64563,58,'t'
26.71516,-13.9952545,39,'a'
-1.2676265,11.563134,63,'y'
-34.60054,-15.680266,6,"','"
-0.100621395,10.634144,59,'u'
48.019985,21.956831,43,'e'
-51.83846,-22.183998,1,' '
48.600838,4.073474,53,'o'
-34.712524,2.93532,10,':'
-40.705776,-16.96456,1,' '
-38.162647,-3.0161083,1,' '
-15.557976,16.964512,58,'t'
-10.287609,-16.09217,1,' '
39.56476,12.778626,59,'u'
50.332268,11.143233,53,'o'
-5.137743,-22.395021,10,':'
4.6871085,-3.9746144,58,'t'
-36.851322,-9.09177,1,' '
0.55326134,-9.708133,40,'b'
-0.5834546,11.19471,60,'v'
-4.7428336,-28.93946,13,'A'
6.9388423,-9.098853,58,'t'
-28.240063,2.9554353,42,'d'
-15.402188,-10.318501,57,'s'
47.257988,20.512688,39,'a'
11.243227,-26.064062,21,'I'
7.167955,7.522196,49,'k'
-4.0552187,-32.327633,27,'O'
42.277,8.683876,43,'e'
30.470947,14.694454,54,'p'
48.470867,4.9514575,43,'e'
29.028646,15.561429,47,'i'
-49.832558,-24.11865,1,' '
-35.225445,-10.0385475,1,' '
-50.88117,-20.42352,1,' '
-3.119136,-35.32683,16,'D'
-12.513383,29.95301,56,'r'
9.196344,13.039391,51,'m'
36.594997,4.292577,53,'o'
13.561555,-30.999125,21,'I'
-27.004686,-2.865725,6,"','"
-47.882164,-27.654327,1,' '
-7.022607,28.396572,56,'r'
-31.733633,-9.879519,12,'?'
-1.4828019,-11.582263,24,'L'
-50.71806,-34.326176,0,'\n'
-0.4456702,-19.530067,13,'A'
45.70755,3.5130796,39,'a'
-1.5147616,-4.8230386,1,' '
56.89142,-3.8809009,53,'o'
0.41810736,22.045225,43,'e'
-39.431877,-8.066821,1,' '
42.118134,12.92904,56,'r'
-48.760563,-4.8786125,1,' '
-35.809933,-5.597818,1,' '
-33.522324,-1.0776037,11,';'
7.6849174,-1.9253865,61,'w'
46.06839,9.649061,53,'o'
-7.7867165,4.4306154,58,'t'
31.19225,12.285252,53,'o'
28.316294,-13.634657,59,'u'
2.0375695,9.059508,57,'s'
-22.139055,8.864575,52,'n'
18.009653,14.506208,50,'l'
-33.254105,-5.329118,63,'y'
31.967785,-1.7726777,46,'h'
-15.896936,13.554629,1,' '
23.500847,13.509317,43,'e'
-3.4398031,11.773191,58,'t'
-2.3392112,-2.8605623,21,'I'
50.673008,22.708424,39,'a'
28.225552,7.1486535,47,'i'
-5.499604,-31.119987,0,'\n'
6.887437,-29.752415,27,'O'
27.662786,-14.096988,46,'h'
-19.350857,-0.011679472,41,'c'
-33.256184,-7.888452,57,'s'
45.534775,4.8598404,50,'l'
38.985962,7.6477075,39,'a'
2.8972497,-6.247339,57,'s'
-42.76478,-8.546872,1,' '
2.7994862,-9.717833,63,'y'
11.259067,19.544035,53,'o'
-20.133625,-0.49924293,1,' '
-48.885986,2.603975,1,' '
5.3732247,-32.64413,28,'P'
10.871481,4.1351013,53,'o'
50.720276,14.782663,43,'e'
-26.936163,19.995409,56,'r'
-36.720787,-19.797295,1,' '
3.4609754,-0.86499333,47,'i'
-18.41944,-6.745907,1,' '
-34.98977,-8.111622,1,' '
12.918879,12.495213,44,'f'
-9.653959,26.349154,58,'t'
13.743576,-1.1460812,39,'a'
12.543911,4.525058,39,'a'
-0.66603214,29.235367,52,'n'
-14.320374,18.470839,58,'t'
-50.09966,-7.6620035,1,' '
-29.883392,-11.251779,39,'a'
27.966082,23.282831,47,'i'
-16.021666,13.954166,52,'n'
-1.3577621,-5.794465,53,'o'
-44.537468,0.461037,1,' '
-32.187366,-2.1387072,6,"','"
